County ID,County Name
1,Baringo
2,Bomet
3,Bungoma
4,Busia
5,Elgeyo Marakwet
6,Embu
7,Garissa
8,Homa Bay
9,Isiolo
10,Kajiado
11,Kakamega
12,Kericho
13,Kiambu
14,Kilifi
15,Kirinyaga
16,KISII
17,Kisumu
18,Kitui
19,Kwale
20,Laikipia
21,Lamu
22,Machakos
23,Makueni
24,Mandera
25,Marsabit
26,Meru
27,Migori
28,Mombasa
29,Muranga
30,Nairobi
31,Nakuru
32,Nandi
33,Narok
34,Nyamira
35,Nyandarua
36,Nyeri
37,Samburu
38,Siaya
39,Taita Taveta
40,Tana River
41,Tharaka Nithi
42,Trans Nzoia
43,Turkana
44,Uasin Gishu
45,Vihiga
46,Wajir
47,West Pokot
